title,ISBN,J_similarity,sim_words
我的大喊大叫的一天!,9787540592431,0.11764705882352941,"['懂得', '糟糕', '孩子', '情绪']"
绘本窗边的小豆豆 . 1,9787513316057,0.08108108108108109,"['绘本', '孩子', '窗边的小豆豆']"
揭秘古诗词,9787541765186,0.08108108108108109,"['绘本', '孩子', '外语']"
揭秘身体,9787541752339,0.08108108108108109,"['懂得', '变化', '绘本']"
青铜葵花,9787534633362,0.05405405405405406,"['孩子', '学会']"
佩奇小时候 : 情绪情感,9787539794693,0.05405405405405406,"['情绪', '孩子']"
不上补习班的第一名,9787535353351,0.05405405405405406,"['孩子', '早餐']"
窗边的小豆豆,9787544288590,0.05405405405405406,"['窗边的小豆豆', '孩子']"
女巫,9787533259549,0.05263157894736842,"['孩子', '学会']"
英语单词大书 = Big book of English words,9787550291904,0.05263157894736842,"['气球', '孩子']"
