title,ISBN,J_similarity,sim_words
知否知否应是绿肥红瘦 . 2 :十年闺阁,978-7-5113-7334-2,2.3716189472029246e-06,"['算计', '古言']"
那片星空，那片海,978-7-5404-7142-2,2.3716189472029246e-06,"['爱情', '言情小说']"
偷影子的人,978-7-5404-8521-4,1.2178583782933938e-06,['爱情']
偶遇,978-7-5302-1785-6,1.1858094736014623e-06,['爱情']
谢谢你离开我,978-7-5404-6059-4,1.1858094736014623e-06,['爱情']
偷影子的人 = Le voleur d'ombres,978-7-5404-5595-8,1.1858094736014623e-06,['爱情']
草房子,978-7-5016-0509-5,1.155404102483476e-06,['爱情']
爱的流放地,978-7-5387-5594-7,1.155404102483476e-06,['爱情']
红玫瑰与白玫瑰,978-7-5302-1115-1,1.155404102483476e-06,['爱情']
原来我这么棒,978-7-5353-5332-0,1.155404102483476e-06,['宠爱']
