,title,ISBN,keywords
0,解忧杂货店,978-7-5442-7087-8,杂货店 投进 牛奶箱 回答 东野圭吾 梦想 琴声 僻静 信口 思域
1,半小时漫画中国史 : 其实是一本严谨的极简中国史,978-7-5399-9988-3,班级 事儿 中国史 理解 二混子 历史 过把瘾 败家子 漫画 八卦
2,原则 = Principles,978-7-5086-8403-1,原则 桥水 创始人 公司 工作 对冲 管理 投资 金融 基金
3,半小时漫画中国史 . 2,978-7-5443-8204-5,漫画 历史 中国史 三大战役 二混子 手绘 做足 东风 流水账 王莽篡汉
4,半小时漫画世界史,978-7-5594-1811-1,历史 简到 欧洲史 崩溃 二混子 世界史 美国 勇士 屏幕 往事
5,三体 . [Ⅰ] : 地球往事三部曲之一,978-7-5366-9293-0,三体 红岸 地球 宇宙 闪烁 发来 母星 基础科学 人类 质子
6,窗边的小豆豆,978-7-5442-5058-0,窗边的小豆豆 黑柳彻子 教育 小豆豆 小学 证明 世纪 全球 校长 童年
7,追风筝的人 = THE KITE RUNNER,978-7-208-06164-4,追风筝的人 阿富汗 再度 救赎 心力 少爷 自责 富家 重演 逃往
8,三体 . Ⅱ :黑暗森林,978-7-5366-9396-8,面壁 三体 黑暗森林 地球 舰队 庞大 展开 利用 计划 挑选出
9,今日简史 = 21 Lessons for the 21st century : 人类命运大议题,978-7-5086-9209-8,简史 挑战 数据 颠覆 全球 人工智能 生物 旧故 简史三部曲 人类
10,米小圈上学记 :班里有个小神童,978-7-5365-8819-6,米小圈 爆笑 漫画 神童 四年级 北猫 玩耍 叔叔 学习 姐姐
11,查理和大玻璃升降机,978-7-5332-5960-0,查理和大玻璃升降机 负数 地带 姥姥 太空 下床 最老 旺卡 运输船 吞下去
12,哈利·波特与魔法石 : 纪念版,978-7-02-010329-4,法学 魔法 罗琳 图书奖 封面 猫头鹰 读者 全新 摆满 口令
13,未来简史 = Homo deus: a brief history of tomorrow : 从智人到神人,978-7-5086-7206-9,人类 人文主义 面临 数据 生物 发展 神人 科学技术 意识 议题
14,揭秘恐龙,978-7-5417-3825-8,恐龙 看里面系列 套装 地球 展现 冠饰 壮丽 惊异 儿童阅读 唤起
15,查理和巧克力工厂,978-7-5332-5961-7,工厂 奖券 查理 车间 查理和巧克力工厂 参观 电视 大门 孩子 全世界
16,女巫,978-7-5332-5954-9,女巫 老鼠 干掉 识别 配方 消灭 姥姥 杀死 学会 相会
17,皮囊 = No more than skins,978-7-201-08894-5,皮囊 房子 回答 母亲 蔡崇达 拿来 残疾 始终 阉割 厚朴
18,哈利·波特与密室 : 纪念版,978-7-02-010330-0,往事 法学 密室 日记 盥洗室 学年 揭发 汤剂 桃金 报偿
19,幸福的鸭子,978-7-5332-5329-5,幸福的鸭子 幸福 鸭子 笑猫日记 有暴风雨 土喜 荷叶 填充 拖拖 冰镇
20,揭秘机场,978-7-5417-4307-8,飞机 机场 起飞 行李 揭秘 运送 货物 零距离 宝宝书 低幼
21,哈利·波特与火焰杯 : 纪念版,978-7-02-010332-4,项目 魔法 争霸赛 火焰杯 三强 世界杯赛 法学 解放阵线 回咒 冥想
22,揭秘海洋,978-7-5417-6335-9,动物 揭秘 海岸边 防御 珊瑚礁 海域 攻击 介绍 乐乐趣绘本馆 蒙氏教育
23,好好说话 : 新鲜有趣的话术精进技巧,978-7-5086-7150-5,好好说话 尴尬 沟通 技巧 谈判 表达 有趣 说话技巧 辩论 话术
24,人类简史 : 从动物到上帝 = Sapiens:a brief history of humankind,978-7-5086-6075-2,丛书 见识 人类简史 历史 革命 人类 科学 审视 认知革命 动物
25,见识,978-7-5086-8460-4,见识 工作 误区 谈谈 投资 职业 吴军 商业 取决于 职场
26,揭秘地下,978-7-5417-3826-5,翻翻书 揭秘 孩子 英文科学绘本 岩浆 中文绘本 幼虫 童书 英国 有多深
27,看见,978-7-5495-2932-2,柴静 报道 经受 记者 记录 新闻 现场 留下 选择 主持人
