,title,ISBN,weight
0,解忧杂货店,978-7-5442-7087-8,"[('杂货店', 0.4225445192233033), ('东野圭吾', 0.3913553051618875), ('解忧', 0.2593903673494534), ('读者', 0.15144168331797941), ('奇迹', 0.14698754182360482), ('投进', 0.12280587013626826), ('手电筒', 0.12280587013626826), ('信口', 0.12280587013626826), ('女性', 0.12129636085534012), ('超强', 0.10375614693978137), ('卷帘门', 0.09801062790969757), ('佛龛', 0.09801062790969757), ('僻静', 0.0921044026022012), ('周刊', 0.09002246022023744), ('人生', 0.08814293278430092), ('岔路', 0.0879138690572668), ('真诚', 0.08695611604837676), ('烦恼', 0.08241883472654517), ('抽屉', 0.08200764374977042), ('掩卷', 0.07781711020483603)]"
1,半小时漫画中国史 : 其实是一本严谨的极简中国史,978-7-5399-9988-3,"[('历史', 0.3695295900169001), ('二混子', 0.3454350598738263), ('漫画', 0.31283613117355885), ('中国史', 0.2650420403816523), ('混子', 0.17831093959365568), ('好笑', 0.16389178431242832), ('手绘', 0.1390134046951743), ('网综', 0.13373320469524175), ('奇葩说', 0.12599127709228514), ('热播', 0.12291883823432125), ('公众', 0.11358944587785097), ('导师', 0.11004257551745124), ('主持人', 0.10071318316098099), ('脉络', 0.09862000326639778), ('粉丝', 0.0976407443030171), ('败家子', 0.09699123268501249), ('过把瘾', 0.09257835987277008), ('三大战役', 0.09257835987277008), ('略去', 0.08915546979682784), ('太慢', 0.08915546979682784)]"
2,原则 = Principles,978-7-5086-8403-1,"[('原则', 0.7253837498632457), ('桥水', 0.2590781447110686), ('创始人', 0.19415154661036463), ('对冲', 0.19149254174296376), ('公司', 0.15287874809587687), ('基金', 0.14079611660049693), ('成功', 0.12206206939830377), ('投资', 0.11969600298937838), ('管理', 0.0916149260069479), ('金融', 0.08984491671061662), ('投资界', 0.06451061709999509), ('分享', 0.06393475284568245), ('工作', 0.06294195591338574), ('联合', 0.06156235505417582), ('超过', 0.06050361972950725), ('更好', 0.05984800149468919), ('生活', 0.05819642222336092), ('阐述', 0.055192203144620394), ('企业', 0.05510128337318205), ('开放', 0.053758847583329245)]"
3,半小时漫画中国史 . 2,978-7-5443-8204-5,"[('漫画', 0.566546094719636), ('中国史', 0.3017086395754254), ('历史', 0.2921189348718276), ('混子', 0.2790960352064589), ('二混子', 0.24576464790763267), ('知识', 0.17010479888847418), ('公众', 0.1508543197877127), ('好笑', 0.13992374722314477), ('陈磊', 0.12288232395381633), ('关注', 0.09649101850727765), ('枯燥', 0.08620246845012153), ('解读', 0.0856729966886853), ('手绘', 0.07912243875147988), ('网综', 0.07611710051085245), ('腹肌', 0.07611710051085245), ('新潮流', 0.07372939437228979), ('笔名', 0.07171061759701737), ('奇葩说', 0.07171061759701737), ('热播', 0.06996187361157238), ('搞笑', 0.06703955747615381)]"
4,半小时漫画世界史,978-7-5594-1811-1,"[('漫画', 0.47871831527348685), ('历史', 0.3327684326322732), ('混子', 0.3057051397124012), ('二混子', 0.26919592737816583), ('世界史', 0.2161917982959859), ('知识', 0.18632264435961238), ('公众', 0.16523681847650515), ('好笑', 0.15326412165723327), ('陈磊', 0.13459796368908292), ('关注', 0.10569050281183125), ('枯燥', 0.09442103912943152), ('手绘', 0.08666599715404087), ('网综', 0.08337412901247306), ('腹肌', 0.08337412901247306), ('奇葩说', 0.0785475306202108), ('笔名', 0.0785475306202108), ('热播', 0.07663206082861664), ('解读', 0.07507286988987942), ('极简', 0.07206393276532863), ('吸引', 0.07187774554300783)]"
5,三体 . [Ⅰ] : 地球往事三部曲之一,978-7-5366-9293-0,"[('三体', 0.3076175966534758), ('地球', 0.19228775600087133), ('宇宙', 0.1805515244091769), ('文件', 0.161771437500773), ('大史', 0.14981976076459438), ('将军', 0.14541147919402928), ('构图', 0.14079146167639572), ('人类', 0.13823656336499304), ('同志', 0.13438578153162076), ('现实', 0.12095699294436893), ('金属', 0.11632918335522344), ('首长', 0.11236482057344578), ('刘慈欣', 0.11186094423762757), ('名单', 0.1055935962572968), ('冷酷', 0.09706286250046381), ('科幻', 0.09642696500465393), ('光年', 0.09144381182320849), ('信息', 0.09027576220458845), ('警方', 0.08548737807573359), ('严密', 0.07986832739847823)]"
6,窗边的小豆豆,978-7-5442-5058-0,"[('窗边的小豆豆', 0.520587322118815), ('黑柳彻子', 0.2602936610594075), ('教育', 0.23095526673965897), ('小豆豆', 0.20823492884752598), ('证明', 0.1702620450689291), ('小学', 0.15982553273984804), ('童年', 0.1342342413306257), ('世纪', 0.12590389036373395), ('全球', 0.12407815589769759), ('语文课', 0.12022833784479199), ('九年制', 0.12022833784479199), ('不亚于', 0.12022833784479199), ('影响', 0.11907446086991749), ('义务教育', 0.11475823143775836), ('超有', 0.11475823143775836), ('怪怪', 0.11475823143775836), ('开卷', 0.11051528727606856), ('注入', 0.11051528727606856), ('位居', 0.11051528727606856), ('退学', 0.11051528727606856)]"
7,追风筝的人 = THE KITE RUNNER,978-7-208-06164-4,"[('阿富汗', 0.3324572092644071), ('追风筝的人', 0.3201653034256075), ('救赎', 0.2560929152868945), ('再度', 0.24960481390475953), ('心力', 0.18531967812658165), ('富家', 0.18531967812658165), ('少爷', 0.17415211603385886), ('仆人', 0.17415211603385886), ('自责', 0.17415211603385886), ('重演', 0.17415211603385886), ('赎罪', 0.17415211603385886), ('逃往', 0.16622860463220354), ('暌违', 0.16008265171280375), ('比赛', 0.1508153324791539), ('不堪', 0.1471375311378254), ('谎言', 0.1471375311378254), ('抉择', 0.1438934804467579), ('风筝', 0.1438934804467579), ('背叛', 0.1438934804467579), ('笔法', 0.14099157821842564)]"
8,三体 . Ⅱ :黑暗森林,978-7-5366-9396-8,"[('三体', 0.37908305108498175), ('面壁', 0.2982031464531105), ('地球', 0.2715165308137964), ('黑暗森林', 0.1918782617423039), ('系统', 0.18012005642453852), ('将军', 0.14783451249585677), ('刘慈欣', 0.14215614415686817), ('舰队', 0.12597284416030713), ('展开', 0.12084190673360934), ('圆柱体', 0.1192812585812442), ('太空', 0.1164116564179401), ('中国科幻', 0.0985563416639045), ('目标', 0.09643170313745503), ('计划', 0.0948047966935206), ('利用', 0.0911698018173431), ('科幻小说', 0.08548037494045845), ('防御', 0.08223354074670167), ('制订', 0.08223354074670167), ('神秘莫测', 0.08223354074670167), ('庞大', 0.08169479604779938)]"
9,今日简史 = 21 Lessons for the 21st century : 人类命运大议题,978-7-5086-9209-8,"[('简史', 0.43414473020019695), ('议题', 0.24618086179453885), ('数据', 0.2240910121787384), ('颠覆', 0.20628886957852238), ('人工智能', 0.18411617790323428), ('挑战', 0.15530049942477864), ('简史三部曲', 0.15125172394190903), ('全球', 0.14668849034034304), ('能力', 0.13330428329774135), ('人类简史', 0.1306541069438689), ('关乎', 0.1306541069438689), ('计生', 0.12100137915352722), ('旧故', 0.12100137915352722), ('核战争', 0.12100137915352722), ('讨论', 0.11807321330577926), ('收官', 0.11370970657637589), ('全球性', 0.11370970657637589), ('技术', 0.10507552684189642), ('生物', 0.10450723667886652), ('人类', 0.09769047080197243)]"
